,Nico1:epd1,Nico1:epd1,Nico1:epd1,Nico1:epd2,Nico1:epd2,Nico1:epd2,Nico1:bd2,Nico1:bd2,Nico1:bd2,Nico1:abd2,Nico1:abd2,Nico1:abd2,Nico1:abg1,Nico1:abg1,Nico1:abg1,Nico1:abg2,Nico1:abg2,Nico1:abg2
Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
91,536.063,964.19,1504.41,142.849,787.034,1500.96,639.408,967.862,1193.81,464.796,1124.66,1000.23,96.4958,741.094,1172.68,138.488,956.381,982.4
92,536.279,964.052,1504.46,142.911,787.178,1500.91,639.505,967.494,1193.77,463.296,1122.36,999.504,96.5437,741.581,1172.45,139.096,957.035,982.716
93,536.484,963.911,1504.43,143.008,787.291,1500.86,639.544,967.171,1193.66,462.535,1122.21,1000.13,96.6492,742.091,1172.33,139.557,957.571,982.829
94,536.708,963.804,1504.46,143.08,787.398,1500.84,639.657,966.836,1193.57,461.685,1121.5,1000.24,96.7074,742.548,1172.18,140.81,958.575,983.311
95,536.965,963.57,1504.53,143.148,787.499,1500.83,639.728,966.493,1193.49,460.813,1120.52,1000.18,96.7883,742.984,1172.08,141.828,959.342,983.702
96,537.221,963.385,1504.54,143.228,787.577,1500.83,639.805,966.124,1193.43,459.821,1119.44,1000.06,96.9343,743.482,1171.99,142.551,960.157,983.991
97,537.469,963.064,1504.54,143.358,787.663,1500.84,639.88,965.775,1193.29,458.865,1118.67,1000.24,97.0289,743.876,1171.96,143.053,960.618,984.314
98,537.751,962.823,1504.52,143.45,787.728,1500.83,639.963,965.368,1193.18,457.978,1117.7,1000.22,97.138,744.208,1172.03,143.362,961.022,984.449
99,537.788,961.803,1504.09,143.583,787.804,1500.81,640.152,965.46,1193.13,457.102,1116.61,1000.24,97.2447,744.615,1171.99,143.878,961.872,984.786
100,538.021,961.491,1504.08,143.62,787.78,1500.89,640.255,965.169,1192.97,456.288,1115.88,1000.45,97.2813,744.924,1172.14,144.183,962.446,984.778
101,538.286,961.282,1504.11,143.714,787.771,1500.95,640.319,964.843,1192.85,455.416,1115.12,1000.69,97.3485,745.252,1172.24,144.808,963.275,985.174
102,538.575,960.807,1504.06,143.847,787.746,1500.99,640.361,964.573,1192.72,454.481,1114.12,1000.61,97.2927,745.722,1172.08,145.295,963.895,985.417
103,538.822,960.707,1504.07,143.96,787.767,1500.98,640.457,964.239,1192.61,453.494,1112.71,1000.49,97.3282,746.059,1172.15,145.663,964.311,985.603
104,539.011,960.497,1504.11,144.089,787.742,1500.97,640.493,964.01,1192.53,452.612,1111.89,1000.62,97.3987,746.325,1172.31,146.035,964.626,985.653
105,539.264,960.248,1504.12,144.401,787.368,1501.23,640.439,963.423,1192.43,451.746,1111.17,1000.77,97.4259,746.631,1172.44,146.332,965.106,985.581
